paper_id,resolved_source_category,resolved_source_subtype,resolved_source_route_source,source_text_json_path,split_text_json_path,used_trimmed_text,split_status,split_reason,split_method,case_count,case_labels,start_page_indices,end_page_indices,manual_review_required,split_at_utc
12691,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\12691.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
12720,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\12720.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
12866,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\12866.json,,false,manual_review_required,"Case headings do not begin with the first case, so the leading case block is not safely isolated.",,0,,,,true,
12920,case_series_or_multi_case,small_case_series,manual_review,data\extraction_json\text\12920.json,data\extraction_json\text_case_series_split\12920.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,3,Case 1 | Case 2 | second case,0 | 1 | 5,1 | 5 | 5,false,2026-03-05T05:20:11.366871+00:00
13028,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\13028.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
131,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\131.json,data\extraction_json\text_case_series_split\131.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,7,Patient 1 | Patient 2 | Patient 3 | Patient 4 | Patient 5 | Patient 6 | first case,1 | 1 | 2 | 3 | 3 | 3 | 4,1 | 2 | 3 | 3 | 3 | 4 | 5,false,2026-03-05T05:20:11.378525+00:00
13100,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\13100.json,data\extraction_json\text_case_series_split\13100.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,3,Patient 1 | Patient 2 | Patient 3,0 | 0 | 1,0 | 1 | 3,false,2026-03-05T05:20:11.384362+00:00
1311,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\1311.json,data\extraction_json\text_case_series_split\1311.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,2,Patient 1 | Patient 2,0 | 0,0 | 1,false,2026-03-05T05:20:11.389123+00:00
13237,case_series_or_multi_case,small_case_series,manual_review,data\extraction_json\text\13237.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
134,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\134.json,,false,manual_review_required,"Case headings do not begin with the first case, so the leading case block is not safely isolated.",,0,,,,true,
1341,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\1341.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
13469,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\13469.json,data\extraction_json\text_case_series_split\13469.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,7,Case 1 | Case 2 | Case 3 | Case 4 | Case 5 | Case 6 | Case 7,1 | 1 | 3 | 4 | 6 | 7 | 9,1 | 3 | 4 | 6 | 7 | 9 | 14,false,2026-03-05T05:20:11.408321+00:00
13684,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\13684.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
13688,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\13688.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
13783,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\13783.json,,false,manual_review_required,"Case headings do not begin with the first case, so the leading case block is not safely isolated.",,0,,,,true,
1382,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\1382.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
140,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\140.json,data\extraction_json\text_case_series_split\140.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,2,Patient 1 | Patient 2,1 | 1,1 | 3,false,2026-03-05T05:20:11.428576+00:00
1422,conference_abstract,case_series_conference_abstract,manual_review,data\extraction_json\text_trimmed\1422.json,,true,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
1433,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\1433.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
1470,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\1470.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
1529,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\1529.json,data\extraction_json\text_case_series_split\1529.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,9,Case 1 | Case 2 | Case 3 | Case 4 | Case 5 | Case 6 | Case 7 | Case 8 | Case 9,1 | 1 | 2 | 2 | 2 | 3 | 3 | 3 | 4,1 | 2 | 2 | 2 | 3 | 3 | 3 | 4 | 6,false,2026-03-05T05:20:11.443297+00:00
1675,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\1675.json,data\extraction_json\text_case_series_split\1675.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,3,Patient 1 | Patient 2 | Patient 3,1 | 1 | 1,1 | 1 | 5,false,2026-03-05T05:20:11.448149+00:00
1759,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\1759.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
1769,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\1769.json,data\extraction_json\text_case_series_split\1769.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,2,Case 1 | Case 2,1 | 1,1 | 5,false,2026-03-05T05:20:11.457980+00:00
1788,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\1788.json,data\extraction_json\text_case_series_split\1788.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,2,Case 1 | Case 2,0 | 1,1 | 4,false,2026-03-05T05:20:11.463974+00:00
1793,conference_abstract,case_series_conference_abstract,manual_review,data\extraction_json\text_trimmed\1793.json,,true,manual_review_required,Conference abstract proceedings QC status 'trimmed_mismatch_suspected' is not safe for auto-splitting.,,0,,,,true,
180,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\180.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
1912,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\1912.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
1913,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\1913.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
1923,conference_abstract,case_series_conference_abstract,manual_review,data\extraction_json\text_trimmed\1923.json,,true,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
193,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\193.json,,false,manual_review_required,"Case headings do not begin with the first case, so the leading case block is not safely isolated.",,0,,,,true,
239,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\239.json,,false,manual_review_required,"Case headings do not begin with the first case, so the leading case block is not safely isolated.",,0,,,,true,
2467,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\2467.json,data\extraction_json\text_case_series_split\2467.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,3,Case 1 | Case 2 | Case 3,0 | 0 | 1,0 | 1 | 2,false,2026-03-05T05:20:11.510460+00:00
258,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\258.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
2606,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\2606.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
2616,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\2616.json,data\extraction_json\text_case_series_split\2616.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,2,Case 1 | Case 2,0 | 0,0 | 2,false,2026-03-05T05:20:11.522521+00:00
2659,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\2659.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
270,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\270.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
272,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\272.json,,false,manual_review_required,"Case headings do not begin with the first case, so the leading case block is not safely isolated.",,0,,,,true,
2855,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\2855.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
287,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\287.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
2952,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\2952.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
3113,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\3113.json,data\extraction_json\text_case_series_split\3113.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,4,Patient A | Patient B | Patient C | Patient D,4 | 5 | 6 | 8,5 | 6 | 8 | 10,false,2026-03-05T05:20:11.560086+00:00
3135,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\3135.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
391,case_series_or_multi_case,small_case_series,manual_review,data\extraction_json\text\391.json,data\extraction_json\text_case_series_split\391.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,3,Case 1 | Case 2 | second case,0 | 1 | 5,1 | 5 | 5,false,2026-03-05T05:20:11.570062+00:00
436,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\436.json,,false,manual_review_required,"Case headings do not begin with the first case, so the leading case block is not safely isolated.",,0,,,,true,
456,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\456.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
477,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\477.json,,false,manual_review_required,"Case headings do not begin with the first case, so the leading case block is not safely isolated.",,0,,,,true,
491,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\491.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
5048,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\5048.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
5254,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\5254.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
529,case_series_or_multi_case,small_case_series,manual_review,data\extraction_json\text\529.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
5398,conference_abstract,case_series_conference_abstract,manual_review,data\extraction_json\text_trimmed\5398.json,,true,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
5502,conference_abstract,case_series_conference_abstract,manual_review,data\extraction_json\text_trimmed\5502.json,,true,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
5519,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\5519.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
559,case_series_or_multi_case,small_case_series,manual_review,data\extraction_json\text\559.json,data\extraction_json\text_case_series_split\559.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,3,Patient 1 | Patient 2 | Patient 3,0 | 0 | 1,0 | 1 | 2,false,2026-03-05T05:20:11.609411+00:00
5600,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\5600.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
5755,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\5755.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
58,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\58.json,data\extraction_json\text_case_series_split\58.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,3,Patient 1 | Patient 2 | Patient 3,0 | 0 | 1,0 | 1 | 3,false,2026-03-05T05:20:11.628454+00:00
589,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\589.json,data\extraction_json\text_case_series_split\589.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,3,Case 1 | Case 2 | Case 4,1 | 3 | 3,3 | 3 | 7,false,2026-03-05T05:20:11.635824+00:00
599,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\599.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
5992,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\5992.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
6198,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\6198.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
621,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\621.json,,false,manual_review_required,"Case headings were found, but the segmented case blocks were too short or unstable.",,0,,,,true,
640,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\640.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
642,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\642.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
648,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\648.json,data\extraction_json\text_case_series_split\648.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,2,CASE 1 | CASE 2,1 | 2,2 | 4,false,2026-03-05T05:20:11.657413+00:00
65,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\65.json,,false,manual_review_required,"Case headings do not begin with the first case, so the leading case block is not safely isolated.",,0,,,,true,
6553,conference_abstract,case_series_conference_abstract,manual_review,data\extraction_json\text_trimmed\6553.json,,true,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
663,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\663.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
668,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\668.json,data\extraction_json\text_case_series_split\668.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,3,Patient 1 | Patient 2 | Patient 3,1 | 2 | 2,2 | 2 | 5,false,2026-03-05T05:20:11.672996+00:00
6691,conference_abstract,case_series_conference_abstract,manual_review,data\extraction_json\text\6691.json,,false,manual_review_required,Conference abstract proceedings QC status 'full_text_partial_match' is not safe for auto-splitting.,,0,,,,true,
688,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\688.json,data\extraction_json\text_case_series_split\688.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,2,Patient 1 | Patient 2,0 | 0,0 | 2,false,2026-03-05T05:20:11.679067+00:00
693,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\693.json,data\extraction_json\text_case_series_split\693.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,2,Patient 1 | Patient 8,3 | 3,3 | 11,false,2026-03-05T05:20:11.686497+00:00
737,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\737.json,data\extraction_json\text_case_series_split\737.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,2,Case 1 | Case 2,0 | 1,1 | 3,false,2026-03-05T05:20:11.692399+00:00
740,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\740.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
742,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\742.json,data\extraction_json\text_case_series_split\742.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,2,PATIENT 1 | PATIENT 2,1 | 1,1 | 2,false,2026-03-05T05:20:11.699816+00:00
748,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\748.json,data\extraction_json\text_case_series_split\748.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,2,Patient 1 | Patient 2,0 | 1,1 | 3,false,2026-03-05T05:20:11.705417+00:00
765,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\765.json,data\extraction_json\text_case_series_split\765.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,2,Case 1 | Case 2,0 | 1,1 | 3,false,2026-03-05T05:20:11.710947+00:00
766,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\766.json,data\extraction_json\text_case_series_split\766.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,3,Patient 1 | Patient 2 | Patient 3,0 | 1 | 1,1 | 1 | 3,false,2026-03-05T05:20:11.717795+00:00
776,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\776.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
788,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\788.json,,false,manual_review_required,"Case headings do not begin with the first case, so the leading case block is not safely isolated.",,0,,,,true,
7916,conference_abstract,case_series_conference_abstract,manual_review,data\extraction_json\text_trimmed\7916.json,,true,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
80,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\80.json,data\extraction_json\text_case_series_split\80.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,2,Patient 1 | patient 8,2 | 5,5 | 8,false,2026-03-05T05:20:11.732708+00:00
825,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\825.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
826,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\826.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
8296,conference_abstract,case_series_conference_abstract,manual_review,data\extraction_json\text_trimmed\8296.json,,true,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
8317,conference_abstract,case_series_conference_abstract,manual_review,data\extraction_json\text\8317.json,,false,manual_review_required,Conference abstract proceedings QC status 'full_text_partial_match' is not safe for auto-splitting.,,0,,,,true,
881,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\881.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
919,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\919.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
921,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\921.json,data\extraction_json\text_case_series_split\921.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,2,Case 1 | Case 2,0 | 2,2 | 3,false,2026-03-05T05:20:11.758824+00:00
95,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\95.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
967,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\967.json,data\extraction_json\text_case_series_split\967.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,3,Patient 1 | Patient 2 | Patient 5,2 | 3 | 3,3 | 3 | 4,false,2026-03-05T05:20:11.767750+00:00
974,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\974.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
975,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\975.json,data\extraction_json\text_case_series_split\975.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,2,Patient 1 | Patient 2,2 | 2,2 | 10,false,2026-03-05T05:20:11.780588+00:00
